000 epoch |train loss: 0.01642592|test loss: 0.01364089|train accuracy:0.20496000 |test accuracy:0.36840000 |learning rate :0.10000000 
024 epoch |train loss: 0.00937989|test loss: 0.00570961|train accuracy:0.47078000 |test accuracy:0.78770000 |learning rate :0.10000000 
025 epoch |train loss: 0.00952604|test loss: 0.00634636|train accuracy:0.45930000 |test accuracy:0.75740000 |learning rate :0.10000000 
026 epoch |train loss: 0.00945655|test loss: 0.00597119|train accuracy:0.47396000 |test accuracy:0.76440000 |learning rate :0.10000000 
027 epoch |train loss: 0.00940390|test loss: 0.00537169|train accuracy:0.47140000 |test accuracy:0.82800000 |learning rate :0.10000000 
028 epoch |train loss: 0.00942428|test loss: 0.00570602|train accuracy:0.45186000 |test accuracy:0.80380000 |learning rate :0.10000000 
029 epoch |train loss: 0.00920777|test loss: 0.00677315|train accuracy:0.46380000 |test accuracy:0.75490000 |learning rate :0.02000000 
030 epoch |train loss: 0.00809734|test loss: 0.00381423|train accuracy:0.52836000 |test accuracy:0.88240000 |learning rate :0.02000000 
031 epoch |train loss: 0.00813668|test loss: 0.00414881|train accuracy:0.50730000 |test accuracy:0.87670000 |learning rate :0.02000000 
032 epoch |train loss: 0.00806932|test loss: 0.00344638|train accuracy:0.47772000 |test accuracy:0.90490000 |learning rate :0.02000000 
033 epoch |train loss: 0.00786584|test loss: 0.00395933|train accuracy:0.50324000 |test accuracy:0.88620000 |learning rate :0.02000000 
034 epoch |train loss: 0.00794734|test loss: 0.00362990|train accuracy:0.51710000 |test accuracy:0.89560000 |learning rate :0.02000000 
035 epoch |train loss: 0.00782876|test loss: 0.00346462|train accuracy:0.51582000 |test accuracy:0.90040000 |learning rate :0.02000000 
036 epoch |train loss: 0.00785615|test loss: 0.00351362|train accuracy:0.49294000 |test accuracy:0.89170000 |learning rate :0.02000000 
037 epoch |train loss: 0.00788694|test loss: 0.00385934|train accuracy:0.51976000 |test accuracy:0.88540000 |learning rate :0.02000000 
038 epoch |train loss: 0.00777006|test loss: 0.00394648|train accuracy:0.52716000 |test accuracy:0.88230000 |learning rate :0.02000000 
039 epoch |train loss: 0.00786888|test loss: 0.00358945|train accuracy:0.49826000 |test accuracy:0.89420000 |learning rate :0.02000000 
040 epoch |train loss: 0.00769111|test loss: 0.00359367|train accuracy:0.48298000 |test accuracy:0.90170000 |learning rate :0.02000000 
041 epoch |train loss: 0.00769461|test loss: 0.00360663|train accuracy:0.51324000 |test accuracy:0.89040000 |learning rate :0.02000000 
042 epoch |train loss: 0.00786139|test loss: 0.00396579|train accuracy:0.52134000 |test accuracy:0.88640000 |learning rate :0.02000000 
043 epoch |train loss: 0.00769469|test loss: 0.00367422|train accuracy:0.52050000 |test accuracy:0.89110000 |learning rate :0.02000000 
044 epoch |train loss: 0.00763468|test loss: 0.00357129|train accuracy:0.53870000 |test accuracy:0.89720000 |learning rate :0.02000000 
045 epoch |train loss: 0.00781964|test loss: 0.00389036|train accuracy:0.53668000 |test accuracy:0.87380000 |learning rate :0.02000000 
046 epoch |train loss: 0.00770377|test loss: 0.00404570|train accuracy:0.51122000 |test accuracy:0.87530000 |learning rate :0.02000000 
047 epoch |train loss: 0.00767267|test loss: 0.00378239|train accuracy:0.53600000 |test accuracy:0.89050000 |learning rate :0.02000000 
048 epoch |train loss: 0.00771018|test loss: 0.00319354|train accuracy:0.53250000 |test accuracy:0.90360000 |learning rate :0.02000000 
049 epoch |train loss: 0.00775953|test loss: 0.00453684|train accuracy:0.52412000 |test accuracy:0.86000000 |learning rate :0.02000000 
