000 epoch |train loss: 0.03264082|test loss: 0.02615383|train accuracy:0.25288000 |test accuracy:0.38820000 |learning rate :0.10000000 
029 epoch |train loss: 0.01503046|test loss: 0.01133095|train accuracy:0.70132000 |test accuracy:0.75620000 |learning rate :0.02000000 
030 epoch |train loss: 0.01192986|test loss: 0.00613169|train accuracy:0.78018000 |test accuracy:0.87490000 |learning rate :0.02000000 
031 epoch |train loss: 0.01121372|test loss: 0.00612012|train accuracy:0.79646000 |test accuracy:0.88220000 |learning rate :0.02000000 
032 epoch |train loss: 0.01148700|test loss: 0.00590822|train accuracy:0.78158000 |test accuracy:0.88530000 |learning rate :0.02000000 
033 epoch |train loss: 0.01142423|test loss: 0.00590017|train accuracy:0.78526000 |test accuracy:0.88360000 |learning rate :0.02000000 
034 epoch |train loss: 0.01167117|test loss: 0.00545983|train accuracy:0.77294000 |test accuracy:0.88780000 |learning rate :0.02000000 
035 epoch |train loss: 0.01052904|test loss: 0.00613171|train accuracy:0.80180000 |test accuracy:0.87300000 |learning rate :0.02000000 
036 epoch |train loss: 0.01082724|test loss: 0.00555322|train accuracy:0.78830000 |test accuracy:0.88320000 |learning rate :0.02000000 
037 epoch |train loss: 0.01036401|test loss: 0.00620806|train accuracy:0.79710000 |test accuracy:0.88130000 |learning rate :0.02000000 
038 epoch |train loss: 0.01060782|test loss: 0.00555863|train accuracy:0.79368000 |test accuracy:0.88950000 |learning rate :0.02000000 
039 epoch |train loss: 0.01147104|test loss: 0.00519756|train accuracy:0.77346000 |test accuracy:0.89020000 |learning rate :0.02000000 
040 epoch |train loss: 0.01093991|test loss: 0.00666218|train accuracy:0.78788000 |test accuracy:0.86900000 |learning rate :0.02000000 
041 epoch |train loss: 0.01085833|test loss: 0.00619366|train accuracy:0.80248000 |test accuracy:0.87690000 |learning rate :0.02000000 
042 epoch |train loss: 0.01063582|test loss: 0.00630626|train accuracy:0.80768000 |test accuracy:0.87840000 |learning rate :0.02000000 
043 epoch |train loss: 0.01088321|test loss: 0.00527335|train accuracy:0.79016000 |test accuracy:0.89120000 |learning rate :0.02000000 
044 epoch |train loss: 0.01069229|test loss: 0.00603572|train accuracy:0.78922000 |test accuracy:0.87360000 |learning rate :0.02000000 
045 epoch |train loss: 0.01096998|test loss: 0.00598921|train accuracy:0.78582000 |test accuracy:0.88460000 |learning rate :0.02000000 
046 epoch |train loss: 0.01066752|test loss: 0.00634237|train accuracy:0.79904000 |test accuracy:0.87860000 |learning rate :0.02000000 
047 epoch |train loss: 0.01042921|test loss: 0.00617249|train accuracy:0.80960000 |test accuracy:0.86850000 |learning rate :0.02000000 
048 epoch |train loss: 0.01051369|test loss: 0.00802047|train accuracy:0.79154000 |test accuracy:0.83140000 |learning rate :0.02000000 
049 epoch |train loss: 0.01089817|test loss: 0.00593974|train accuracy:0.78888000 |test accuracy:0.87740000 |learning rate :0.02000000 
